editTopo.py edits file version 1
#
# This file can be used as an argument for editTopo.py --apply
#
# created: Thu Oct 15 13:33:18 2020
# by: aek156
# via: ./topogtools/editTopo.py --ref /g/data/ik11/inputs/access-om2/input_20200530/mom_1deg/topog.nc topog_new_deseas_partialcell_mindepth_masked_fixnonadvective.nc
#
# Most of these edits revert the new topography to the values in the previous topography 
# /g/data/ik11/inputs/access-om2/input_20200530/mom_1deg/topog.nc
# at selected points in Denmark Strait, Iceland-Faroe Strait, the Strait of Gibraltar,
# the Lombok, Ombai, Timor, Makassar Straits, the Caribbean, Drake Passage, and a few others.
# The edits in the Red Sea and at (i  j) = (207  295) in the Northwest Passage are the only ones not from the old topography.
# see https://github.com/COSIMA/access-om2/issues/158#issuecomment-669624837
# and https://github.com/aekiss/notebooks/blob/3f2fbc2/bathymetry.ipynb
#
#   i    j  old                 new
  249  246  412.57037353515625  1650.0
  249  245  1340.082763671875   1850.0
  250  245  1407.994384765625   1850.0
  250  246  600.1152954101562   1650.0
  250  247  304.1821594238281   1300.0
  251  248  319.4866943359375   1150.0
  251  247  397.5320739746094   1300.0
  251  246  627.6714477539062   1500.0
  251  245  1176.47998046875    1650.0
  251  244  1171.1357421875     1850.0
  251  243  1333.926025390625   1850.0
  251  242  1488.0677490234375  1850.0
  252  242  1216.288330078125   1650.0
  252  243  834.7232055664062   1650.0
  252  244  654.0448608398438   1650.0
  252  245  557.9205322265625   1500.0
  252  246  618.7704467773438   1300.0
  252  247  397.5320739746094   1300.0
  252  248  389.8323669433594   1150.0
  252  249  369.38232421875     837.724365234375
  253  250  410.8448181152344   650.0
  253  249  557.9205322265625   837.724365234375
  253  248  571.7924194335938   1000.0
  253  247  397.5320739746094   1000.0
  254  248  557.9205322265625   837.724365234375
  250  244  1759.82421875       2000.0
  250  243  1838.5086669921875  2000.0
  249  244  2240.35400390625    2000.0
  248  244  2268.945556640625   2009.95751953125
  273  236  198.12916564941406  837.724365234375
  273  237  150.35394287109375  837.724365234375
  274  237  237.58334350585938  837.724365234375
  274  236  479.37322998046875  837.724365234375
  274  235  627.6714477539062   837.724365234375
  273  235  557.9205322265625   837.724365234375
  273  234  627.6714477539062   837.724365234375
  273  233  381.8486633300781   837.724365234375
  274  233  115.27851104736328  837.724365234375
  274  234  627.6714477539062   837.724365234375
  272  234  726.529052734375    837.724365234375
  275  203  726.529052734375    385.2829895019531
  276  203  726.529052734375    385.2829895019531
  278  203  1579.2425537109375  271.4283142089844
  275  202  726.529052734375    385.2829895019531
  276  202  694.3646240234375   385.2829895019531
  277  202  479.37322998046875  280.7256774902344
  277  203  540.4827880859375   280.7256774902344
  278  202  748.7681274414062   228.10302734375
  279  202  837.724365234375    228.10302734375
  279  203  1759.82421875       1442.2440185546875
  279  204  1693.708984375      1442.2440185546875
  280  204  1948.4039306640625  1442.2440185546875
  280  203  1935.8187255859375  1442.2440185546875
  281  203  1948.4039306640625  1000.0
  281  204  1948.4039306640625  1038.5498046875
  278  204  1447.377685546875   271.4283142089844
   49  108  447.1943664550781   1000.0
   48  108  414.4737243652344   1247.3297119140625
   47  108  1247.3297119140625  1407.994384765625
   46  108  1247.3297119140625  1406.01953125
   45  108  1035.0506591796875  1406.01953125
   45  107  1098.2969970703125  1500.0
   46  107  1098.2969970703125  1500.0
   47  107  479.37322998046875  1407.994384765625
   48  107  92.86747741699219   1000.0
   47  106  132.3472900390625   1000.0
   46  106  749.3460083007812   1500.0
   45  106  961.63916015625     1615.35888671875
   44  106  961.63916015625     1615.35888671875
   44  105  961.63916015625     1615.35888671875
   45  105  934.0479736328125   1615.35888671875
   46  105  299.81524658203125  1500.0
   47  105  78.8930892944336    950.0
   46  104  113.44532012939453  1000.0
   45  104  445.6341247558594   1615.35888671875
   44  104  627.6714477539062   1615.35888671875
   43  104  627.6714477539062   1890.0
   42  104  620.2410278320312   1890.0
   41  104  950.900146484375    1890.0
   42  103  1183.124267578125   1890.0
   43  103  627.6714477539062   1890.0
   44  103  593.28564453125     1615.35888671875
   45  103  245.97906494140625  1615.35888671875
   46  103  89.41149139404297   950.0
   45  102  145.5373077392578   1000.0
   44  102  299.81524658203125  1000.0
   43  102  490.57916259765625  1000.0
   37  137  479.37322998046875  1450.0
   37  136  231.51104736328125  1450.0
   37  135  85.658935546875     1450.0
   37  134  138.46319580078125  1800.0
   37  133  338.93939208984375  1800.0
   37  132  703.0485229492188   1800.0
   37  131  726.529052734375    1800.0
   37  130  682.515625          1800.0
   37  129  71.19741821289062   1800.0
   37  128  35.363426208496094  1800.0
   37  126  140.62811279296875  1800.0
   37  125  506.452880859375    1800.0
   37  124  999.0630493164062   1800.0
   37  123  1098.2969970703125  1800.0
   37  122  944.0715942382812   1800.0
   37  127  40.17728805541992   1800.0
   38  134  1247.3297119140625  1800.0
   38  133  1247.3297119140625  1800.0
   38  132  726.529052734375    1800.0
   38  131  726.529052734375    1800.0
   38  130  726.529052734375    1800.0
   38  129  74.60333251953125   1800.0
   38  128  41.740665435791016  1800.0
   38  127  41.740665435791016  1800.0
   38  126  150.35394287109375  1800.0
   38  125  540.4827880859375   1800.0
